@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute inputs-3 numeric
@attribute outputs-1 numeric
@attribute outputs-2 numeric
@attribute outputs-3 numeric
@attribute outputs-4 numeric
@attribute outputs-5 numeric
@attribute outputs-6 numeric
@attribute outputs-7 numeric
@attribute outputs-8 numeric
@attribute outputs-9 numeric

@data
61,'2018/07/04 21:34:25:073',3,22,0,2,0,232,0,0,0,1760,0.06,0.99,1
62,'2018/07/04 21:34:25:074',3,18,0,2,0,232,0,0,0,1760,0.06,0.99,1
63,'2018/07/04 21:34:25:108',3,12,0,2,0,232,0,0,0,1760,0.06,0.99,1
64,'2018/07/04 21:34:25:116',3,7,0,2,0,232,0,0,0,1760,0.06,0.99,1
65,'2018/07/04 21:34:25:128',3,0,0,2,0,232,0,0,0,1760,0.06,0.99,1
66,'2018/07/04 21:34:25:141',3,0,0,2,0,232,0,0,0,1760,0.06,0.99,1
67,'2018/07/04 21:34:25:161',3,0,0,2,0,232,0,0,0,1760,0.06,0.99,1
68,'2018/07/04 21:34:25:180',3,0,0,2,0,232,0,0,0,1760,0.06,0.99,1
69,'2018/07/04 21:34:25:604',3,0,24,2,0,232,0,0,0,1760,0.06,0.99,1
70,'2018/07/04 21:34:25:608',3,0,23,2,0,232,0,0,0,1760,0.06,0.99,1
71,'2018/07/04 21:34:25:608',3,0,18,2,0,232,0,0,0,1760,0.06,0.99,1
72,'2018/07/04 21:34:25:608',3,0,15,2,0,232,0,0,0,1760,0.06,0.99,1
73,'2018/07/04 21:34:25:608',3,0,9,2,0,232,0,0,0,1760,0.06,0.99,1
74,'2018/07/04 21:34:25:610',3,0,3,2,0,232,0,0,0,1760,0.06,0.99,1
75,'2018/07/04 21:34:25:629',3,0,0,2,0,232,0,0,0,1760,0.06,0.99,1
76,'2018/07/04 21:34:25:658',3,0,0,2,0,232,0,0,0,1760,0.06,0.99,1
77,'2018/07/04 21:34:25:665',3,0,0,2,0,232,0,0,0,1760,0.06,0.99,1
78,'2018/07/04 21:34:26:048',3,0,0,26,0,232,0,0,0,1760,0.06,0.99,1
79,'2018/07/04 21:34:26:072',3,0,0,24,0,232,0,0,0,1760,0.06,0.99,1
80,'2018/07/04 21:34:26:078',3,0,0,18,0,232,0,0,0,1760,0.06,0.99,1
81,'2018/07/04 21:34:26:113',3,0,0,12,0,232,0,0,0,1760,0.06,0.99,1
82,'2018/07/04 21:34:26:122',3,0,0,5,0,232,0,0,0,1760,0.06,0.99,1
83,'2018/07/04 21:34:26:133',3,0,0,0,0,232,0,0,0,1760,0.06,0.99,1
84,'2018/07/04 21:34:26:152',3,0,0,0,0,232,0,0,0,1760,0.06,0.99,1
85,'2018/07/04 21:34:31:518',4,0,65,0,0,232,0,0,0,1760,0.06,0.99,1
86,'2018/07/04 21:34:31:641',4,0,60,0,0,232,0,0,0,1760,0.06,0.99,1
87,'2018/07/04 21:34:31:649',4,0,57,0,0,232,0,0,0,1760,0.06,0.99,1
88,'2018/07/04 21:34:31:665',4,0,55,0,0,232,0,0,0,1760,0.06,0.99,1
89,'2018/07/04 21:34:31:680',4,0,53,0,0,232,0,0,0,1760,0.06,0.99,1
90,'2018/07/04 21:34:31:698',4,0,51,0,0,232,0,0,0,1760,0.06,0.99,1
91,'2018/07/04 21:34:31:716',4,0,48,0,0,232,0,0,0,1760,0.06,0.99,1
92,'2018/07/04 21:34:31:748',4,0,46,0,0,232,0,0,0,1760,0.06,0.99,1
93,'2018/07/04 21:34:31:748',4,0,44,0,0,232,0,0,0,1760,0.06,0.99,1
94,'2018/07/04 21:34:31:761',4,0,40,0,0,232,0,0,0,1760,0.06,0.99,1
95,'2018/07/04 21:34:31:777',4,0,39,0,0,232,0,0,0,1760,0.06,0.99,1
96,'2018/07/04 21:34:31:796',4,0,37,0,0,232,0,0,0,1760,0.06,0.99,1
97,'2018/07/04 21:34:31:810',4,0,35,0,0,232,0,0,0,1760,0.06,0.99,1
98,'2018/07/04 21:34:31:838',4,0,34,0,0,232,0,0,0,1760,0.06,0.99,1
99,'2018/07/04 21:34:31:846',4,0,30,0,0,232,0,0,0,1760,0.06,0.99,1
100,'2018/07/04 21:34:31:862',4,0,26,0,0,232,0,0,0,1760,0.06,0.99,1
101,'2018/07/04 21:34:31:878',4,0,22,0,0,232,0,0,0,1760,0.06,0.99,1
102,'2018/07/04 21:34:31:896',4,0,17,0,0,232,0,0,0,1760,0.06,0.99,1
103,'2018/07/04 21:34:31:910',4,0,12,0,0,232,0,0,0,1760,0.06,0.99,1
104,'2018/07/04 21:34:31:929',4,0,7,0,0,232,0,0,0,1760,0.06,0.99,1
105,'2018/07/04 21:34:31:950',4,0,3,0,0,232,0,0,0,1760,0.06,0.99,1
106,'2018/07/04 21:34:31:966',4,0,0,0,0,232,0,0,0,1760,0.06,0.99,1
107,'2018/07/04 21:34:31:977',4,0,0,0,0,232,0,0,0,1760,0.06,0.99,1
108,'2018/07/04 21:34:36:353',5,0,64,0,0,232,0,0,0,1760,0.06,0.99,1
109,'2018/07/04 21:34:36:353',5,0,63,0,0,232,0,0,0,1760,0.06,0.99,1
110,'2018/07/04 21:34:36:486',5,0,64,0,0,232,0,0,0,1760,0.06,0.99,1
111,'2018/07/04 21:34:36:487',5,0,64,0,0,232,0,0,0,1760,0.06,0.99,1
112,'2018/07/04 21:34:36:487',5,0,63,0,0,232,0,0,0,1760,0.06,0.99,1
113,'2018/07/04 21:34:36:487',5,0,60,0,0,232,0,0,0,1760,0.06,0.99,1
114,'2018/07/04 21:34:36:510',5,0,58,0,0,232,0,0,0,1760,0.06,0.99,1
115,'2018/07/04 21:34:36:647',5,0,56,0,0,232,0,0,0,1760,0.06,0.99,1
116,'2018/07/04 21:34:36:648',5,0,55,0,0,232,0,0,0,1760,0.06,0.99,1
117,'2018/07/04 21:34:36:648',5,0,53,0,0,232,0,0,0,1760,0.06,0.99,1
118,'2018/07/04 21:34:36:648',5,0,52,0,0,232,0,0,0,1760,0.06,0.99,1
119,'2018/07/04 21:34:36:648',5,0,50,0,0,232,0,0,0,1760,0.06,0.99,1
120,'2018/07/04 21:34:36:649',5,0,50,0,0,232,0,0,0,1760,0.06,0.99,1
121,'2018/07/04 21:34:36:649',5,0,49,0,0,232,0,0,0,1760,0.06,0.99,1
122,'2018/07/04 21:34:36:649',5,0,47,0,0,232,0,0,0,1760,0.06,0.99,1
123,'2018/07/04 21:34:36:671',5,0,45,0,0,232,0,0,0,1760,0.06,0.99,1
