@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute inputs-3 numeric
@attribute inputs-4 numeric
@attribute inputs-5 numeric
@attribute inputs-6 numeric
@attribute inputs-7 numeric
@attribute inputs-8 numeric
@attribute inputs-9 numeric
@attribute inputs-10 numeric
@attribute inputs-11 numeric
@attribute inputs-12 numeric
@attribute inputs-13 numeric
@attribute inputs-14 numeric
@attribute inputs-15 numeric
@attribute outputs-1 {0,1,2,3,4,5}

@data
30,'2018/07/12 22:06:06:170',1,377.602112,411.449219,55.81263,415.272369,362.117432,72.350677,365.540222,402.485657,46.931381,338.380127,396.932465,45.854855,315.819397,389.214874,47.552444,1
31,'2018/07/12 22:06:06:222',1,378.467102,410.561798,55.812958,415.905426,360.976868,72.365402,366.391022,401.64212,46.94273,339.20282,396.074738,45.864117,316.56134,388.390442,47.556244,1
32,'2018/07/12 22:06:06:276',1,379.452179,410.64679,55.77549,417.076904,361.363403,72.446365,367.387512,401.475372,46.961533,340.124329,395.946289,45.9048,317.429138,388.343567,47.617043,1
33,'2018/07/12 22:06:06:332',1,381.446167,412.462646,55.704048,418.788757,363.525574,72.527649,369.494232,402.919922,46.960133,342.092651,397.529846,45.928185,319.212158,390.108185,47.661915,1
34,'2018/07/12 22:06:06:387',1,384.279907,417.705078,55.554844,421.73941,369.177734,72.488434,372.186035,407.809052,46.871506,344.647858,402.561676,45.87394,321.601135,395.322754,47.639656,1
35,'2018/07/12 22:06:06:440',1,384.81192,422.488861,55.348053,422.729004,374.078735,72.316528,372.644409,412.437866,46.698074,345.073059,407.262573,45.723923,321.948242,400.091919,47.509541,1
36,'2018/07/12 22:06:06:497',1,384.059174,427.487427,55.187809,422.451233,380.110413,72.329102,372.055328,416.846161,46.573456,344.5401,411.592255,45.620693,321.466736,404.450073,47.429161,1
37,'2018/07/12 22:06:06:552',1,382.685455,429.894775,55.124805,422.13446,382.883728,72.344574,370.796509,418.996582,46.550865,343.313965,413.670685,45.611546,320.361816,406.528412,47.445171,1
38,'2018/07/12 22:06:06:607',1,381.96347,430.382751,55.124077,421.651031,383.117981,72.35331,370.220337,419.537903,46.563461,342.728302,414.222534,45.619659,319.792114,407.077667,47.458389,1
39,'2018/07/12 22:06:06:661',1,381.267517,430.182465,55.093052,421.238953,382.968994,72.352501,369.432373,419.324036,46.550484,341.97168,413.939667,45.604843,319.110413,406.744873,47.445988,1
